year,Price,kms_driven,fuel_type,Brand,Model
2011,145000.0,41000.0,Petrol,Maruti,Suzuki Alto K10 VXi AMT
2011,210000.0,35000.0,Petrol,Maruti,Suzuki Wagon R LXI BS IV
2013,40000.0,2200.0,Petrol,Tata,Nano Cx BSIV
2013,125000.0,39000.0,Petrol,Maruti,Suzuki Alto Std BS IV
2009,135000.0,45000.0,Petrol,Maruti,Suzuki Wagon R LXi BS III
2006,135000.0,45000.0,Petrol,Maruti,Suzuki Swift VXI BSIII
2012,285000.0,65000.0,Diesel,Tata,Sumo Victa EX 10 by 7 Str BSIII
2010,145000.0,54870.0,Petrol,Maruti,Suzuki Wagon R LXi BS III
2010,135000.0,34580.0,Petrol,Maruti,Suzuki Alto LXi BS III
2009,450000.0,97000.0,Diesel,Volkswagen,Passat Diesel Comfortline AT
2015,375000.0,25000.0,Diesel,Renault,Scala RxL Diesel Travelogue
2013,375000.0,20000.0,Diesel,Mahindra,Quanto C8
2014,365000.0,20000.0,Petrol,Hyundai,Grand i10 Sportz O 1.2 Kappa VTVT
2015,500000.0,18000.0,Petrol,Hyundai,i20 Active 1.2 SX
2012,400000.0,35000.0,Diesel,Mahindra,Xylo E4
2019,390000.0,60.0,Diesel,Mahindra,Jeep MM 550 XDB
2012,501000.0,35000.0,Diesel,Renault,Duster 110PS Diesel RxZ
2013,330000.0,80200.0,Diesel,Mahindra,Bolero SLE BS IV
2015,580000.0,3200.0,Diesel,Force,Motors Force One LX ABS 7 STR
2012,265000.0,46000.0,Diesel,Maruti,Suzuki SX4
2019,379000.0,0.0,Diesel,Mahindra,Jeep CL550 MDI
2015,219000.0,5000.0,Petrol,Maruti,Suzuki Alto 800
2018,385000.0,588.0,Diesel,Mahindra,Jeep CL550 MDI
2011,275000.0,36000.0,Diesel,Toyota,Etios
2015,330000.0,38000.0,Diesel,Volkswagen,Polo
2008,110000.0,45000.0,Petrol,Honda,City ZX VTEC
2006,80000.0,71200.0,Petrol,Maruti,Suzuki Wagon R LX BS III
2016,519000.0,52000.0,Diesel,Honda,City VX O MT Diesel
2016,730000.0,29000.0,Diesel,Mahindra,Thar CRDe 4x4 AC
2015,1475000.0,47000.0,Diesel,Mitsubishi,Pajero Sport Limited Edition
2009,699000.0,47000.0,Petrol,Audi,A4 1.8 TFSI Multitronic Premium Plus
2015,2000000.0,20000.0,Diesel,Mercedes,Benz GLA Class 200 CDI Sport
2015,2100000.0,30000.0,Diesel,Land,Rover Freelander 2 SE
2017,340000.0,5000.0,Petrol,Renault,Kwid RXT
2014,390000.0,35000.0,Diesel,Tata,Aria Pleasure 4X2
2014,1400000.0,31000.0,Petrol,Mercedes,Benz B Class B180 Sports
2016,245000.0,7000.0,Petrol,Datsun,GO T O
2016,320000.0,175430.0,Diesel,Tata,Indigo eCS LX TDI BS III
2016,320000.0,175400.0,Diesel,Tata,Indigo eCS LX TDI BS III
2016,450000.0,41000.0,Petrol,Honda,Jazz VX MT
2014,311000.0,33000.0,Petrol,Honda,Amaze 1.2 S i VTEC
2013,284999.0,46000.0,Diesel,Honda,Amaze
2012,399999.0,45000.0,Petrol,Honda,City
2015,599999.0,39000.0,Diesel,Honda,City
2015,344999.0,22000.0,Petrol,Honda,Amaze
2009,699000.0,47000.0,Petrol,Audi,A4 1.8 TFSI Multitronic Premium Plus
2015,580000.0,3200.0,Diesel,Force,Motors Force One LX ABS 7 STR
2015,855000.0,30000.0,Diesel,Mahindra,Scorpio S4
2015,535000.0,37000.0,Diesel,Hyundai,i20 Active 1.4L SX O
2013,1891111.0,13000.0,Petrol,Mini,Cooper S
2017,699000.0,14000.0,Petrol,Maruti,Suzuki Ciaz ZXI Plus
2013,375000.0,55000.0,Diesel,Chevrolet,Tavera Neo
2013,284999.0,46000.0,Diesel,Honda,Amaze
2012,178000.0,30000.0,Petrol,Hyundai,Eon Sportz
2013,300000.0,50000.0,Diesel,Tata,Sumo Gold Select Variant
2003,90000.0,45000.0,Petrol,Maruti,Suzuki Wagon R 1.0
2006,95000.0,45000.0,Petrol,Maruti,Suzuki Esteem VXi BS III
2015,255000.0,9300.0,Petrol,Maruti,Suzuki Eeco 5 STR WITH AC HTR
2013,245000.0,55000.0,Diesel,Chevrolet,Enjoy 1.4 LS 8 STR
2012,329500.0,36200.0,Diesel,Hyundai,i20 Asta 1.4 CRDI 6 Speed
2014,195000.0,50000.0,Diesel,Ford,Figo Diesel EXI
2015,251111.0,55000.0,Petrol,Maruti,Suzuki Eeco 5 STR WITH AC HTR
2014,569999.0,45000.0,Petrol,Maruti,Suzuki Ertiga ZXi
2007,69999.0,51000.0,Petrol,Maruti,Suzuki Esteem LXi BS III
2014,299999.0,19000.0,Petrol,Maruti,Suzuki Ritz VXI
2009,220000.0,46000.0,Petrol,Maruti,Suzuki Dzire
2013,399999.0,33000.0,Diesel,Maruti,Suzuki Ritz LDi
2010,249999.0,36000.0,Petrol,Maruti,Suzuki SX4 ZXI MT
2015,289999.0,22000.0,Petrol,Maruti,Suzuki Wagon R 1.0 VXi
2013,1891111.0,13500.0,Petrol,Mini,Cooper S 1.6
2015,499999.0,60000.0,Diesel,Nissan,Terrano XL D Plus
2013,489999.0,27000.0,Diesel,Renault,Duster 85 PS RxE Diesel
2014,489999.0,59000.0,Diesel,Renault,Duster 85 PS RxE Diesel
2015,549999.0,19000.0,Diesel,Renault,Duster 85 PS RxL Diesel
2013,380000.0,30000.0,Petrol,Maruti,Suzuki Dzire ZXI
2018,325000.0,15000.0,Petrol,Renault,Kwid RXT Opt
2003,57000.0,56758.0,Petrol,Maruti,Suzuki Maruti 800 Std
2018,349999.0,10000.0,Petrol,Renault,Kwid 1.0 RXT AMT
2018,689999.0,20000.0,Diesel,Renault,Lodgy 85 PS RXL
2014,349999.0,49000.0,Diesel,Renault,Scala RxL Diesel
2014,410000.0,41000.0,Petrol,Hyundai,Grand i10 Asta 1.2 Kappa VTVT O
2011,225000.0,45000.0,Petrol,Maruti,Suzuki Swift Dzire VXi 1.2 BS IV
2010,120000.0,43000.0,Petrol,Chevrolet,Beat LS Petrol
2016,320000.0,175430.0,Diesel,Tata,Indigo eCS LX TDI BS III
2000,59000.0,56450.0,Petrol,Hyundai,Santro Xing XO eRLX Euro III
2015,540000.0,38000.0,Diesel,Hyundai,Fluidic Verna 1.6 CRDi SX
2010,80000.0,56000.0,Petrol,Chevrolet,Beat LS Petrol
2013,340000.0,37000.0,Diesel,Mahindra,Quanto C8
2008,75000.0,65000.0,Petrol,Fiat,Petra ELX 1.2 PS
2015,220000.0,32700.0,Petrol,Chevrolet,Beat LS Petrol
2011,159500.0,38200.0,Diesel,Skoda,Fabia 1.2L Diesel Ambiente
2016,599000.0,30000.0,Diesel,Ford,EcoSport Titanium 1.5L TDCi
2006,80000.0,56000.0,Petrol,Hyundai,Accent GLX
